nombre,precio,stock
Teclado,25000.00,35
Monitor 24 pulgadas,180000.00,12
Impresora,95000.00,8
Router WiFi,45000.00,20
Disco Duro Externo 1TB,65000.00,15
Memoria USB 64GB,12000.00,60
Auriculares,30000.00,25
Webcam HD,28000.00,18
Microfono USB,42000.00,10
Parlante Bluetooth,35000.00,22
Cable HDMI 2m,6000.00,80
Mousepad,5000.00,70
Bateria Externa 10000mAh,22000.00,16
Cargador USB-C 65W,26000.00,14
Adaptador USB-C a HDMI,18000.00,19
SSD 500GB,52000.00,11
RAM 8GB DDR4,24000.00,13
Tarjeta Grafica,350000.00,4
Fuente de Poder 650W,65000.00,7
Gabinete ATX,55000.00,6
Switch 8 Puertos,30000.00,9
Soporte para Notebook,15000.00,21
Kit de Limpieza,8000.00,40
